n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
25,0,11,9,3,8,4,0.44,0.36,0.12,0.32,0.16,1.2222222222222223,3.6666666666666665,3.0,0.8888888888888888,0.36363636363636365,False,False
25,0,13,12,3,9,3,0.52,0.48,0.12,0.36,0.12,1.0833333333333333,4.333333333333333,4.0,0.75,0.23076923076923078,False,False
250,0,85,76,6,195,6,0.34,0.304,0.024,0.78,0.024,1.118421052631579,14.166666666666666,12.666666666666666,2.5657894736842106,0.07058823529411765,True,False
450,1,199,163,5,380,6,0.44222222222222224,0.3622222222222222,0.011111111111111112,0.8444444444444444,0.013333333333333334,1.2208588957055215,39.8,32.6,2.331288343558282,0.03015075376884422,False,True
25,0,13,13,3,17,4,0.52,0.52,0.12,0.68,0.16,1.0,4.333333333333333,4.333333333333333,1.3076923076923077,0.3076923076923077,False,False
350,0,130,118,5,290,7,0.37142857142857144,0.33714285714285713,0.014285714285714285,0.8285714285714286,0.02,1.1016949152542372,26.0,23.6,2.457627118644068,0.05384615384615385,False,True
350,1,149,121,5,289,5,0.4257142857142857,0.3457142857142857,0.014285714285714285,0.8257142857142857,0.014285714285714285,1.2314049586776858,29.8,24.2,2.3884297520661155,0.03355704697986577,False,True
350,1,138,118,4,336,6,0.3942857142857143,0.33714285714285713,0.011428571428571429,0.96,0.017142857142857144,1.1694915254237288,34.5,29.5,2.847457627118644,0.043478260869565216,False,True
400,1,175,154,4,313,5,0.4375,0.385,0.01,0.7825,0.0125,1.1363636363636365,43.75,38.5,2.0324675324675323,0.02857142857142857,False,True
400,0,142,137,5,332,7,0.355,0.3425,0.0125,0.83,0.0175,1.0364963503649636,28.4,27.4,2.423357664233577,0.04929577464788732,False,True
50,0,20,20,3,37,4,0.4,0.4,0.06,0.74,0.08,1.0,6.666666666666667,6.666666666666667,1.85,0.2,False,False
100,1,40,32,4,67,5,0.4,0.32,0.04,0.67,0.05,1.25,10.0,8.0,2.09375,0.125,False,False
150,0,50,48,4,107,6,0.3333333333333333,0.32,0.02666666666666667,0.7133333333333334,0.04,1.0416666666666667,12.5,12.0,2.2291666666666665,0.12,True,False
400,1,176,125,4,261,5,0.44,0.3125,0.01,0.6525,0.0125,1.408,44.0,31.25,2.088,0.028409090909090908,False,True
200,1,91,62,4,86,5,0.455,0.31,0.02,0.43,0.025,1.467741935483871,22.75,15.5,1.3870967741935485,0.054945054945054944,True,False
500,1,207,171,5,486,6,0.414,0.342,0.01,0.972,0.012,1.2105263157894737,41.4,34.2,2.8421052631578947,0.028985507246376812,False,True
