n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
25,1,12,12,3,8,3
25,1,11,10,3,10,4
300,0,114,102,6,289,7
450,1,190,168,5,394,6
50,1,25,19,4,32,5
250,1,124,103,5,197,5
500,1,211,181,4,428,5
100,1,39,34,4,69,5
25,0,14,10,4,24,5
50,1,21,19,4,43,5
250,1,114,90,3,227,5
25,0,10,8,4,22,5
25,1,11,10,4,15,5
400,0,159,145,6,371,7
400,1,168,166,5,331,6
200,1,83,73,4,158,5
500,0,190,148,6,490,7
500,1,209,172,4,388,5
150,1,62,50,4,125,5
500,1,241,148,5,461,6
500,1,216,209,4,402,6
100,0,40,31,4,63,5
450,0,164,158,7,420,8
450,1,187,159,4,388,6
100,0,34,31,4,25,5
100,0,39,38,4,76,5
150,1,65,64,5,136,6
200,0,74,62,5,181,6
150,0,53,44,5,105,6
350,0,121,112,6,298,7
25,0,13,11,3,12,4
300,1,139,120,5,256,6
450,1,191,161,5,371,6
100,1,44,40,4,76,5
200,0,71,62,6,174,7
250,0,86,84,5,177,6
400,0,147,130,5,295,6
100,0,37,36,4,61,5
25,0,13,10,3,14,4
100,0,43,41,4,39,5
25,1,12,12,4,16,5
100,1,45,31,4,91,6
100,0,40,34,5,74,6
250,0,92,80,5,176,6
300,0,112,87,4,195,6
450,0,171,132,5,337,7
500,1,232,222,4,408,5
250,0,94,81,5,230,7
350,0,132,117,5,344,7
450,1,199,183,4,377,6
100,0,36,34,4,55,6
200,0,72,61,6,195,7
450,1,184,170,5,383,6
500,0,168,162,6,405,7
50,0,23,20,4,47,5
250,1,115,93,4,208,5
500,0,170,145,6,494,8
300,1,129,121,4,249,6
50,1,23,19,4,33,5
400,1,166,164,5,365,7
450,0,163,138,5,381,6
500,0,173,157,6,375,7
100,1,47,37,3,42,5
400,1,166,166,4,327,6
350,1,154,113,5,273,6
25,0,11,9,4,22,5
150,0,52,42,6,140,8
100,1,48,43,4,42,5
200,0,73,68,7,197,7
450,0,160,151,7,432,7
25,0,13,11,4,23,5
50,0,21,19,4,30,4
400,0,150,134,5,318,6
25,0,9,9,5,23,5
100,0,40,35,5,72,5
500,0,174,157,6,462,7
200,0,75,67,4,162,6
350,0,134,108,7,337,8
300,1,141,99,6,291,6
450,0,165,150,6,410,8
250,0,105,85,5,191,7
350,1,145,132,4,293,5
100,0,38,33,5,77,6
500,1,222,170,4,468,6
25,0,13,9,4,15,4
150,0,56,48,4,123,6
150,1,75,48,3,114,5
450,1,182,165,5,387,6
300,1,132,115,5,262,6
300,0,104,87,5,290,7
350,1,155,133,4,271,6
300,0,113,110,6,279,7
350,0,125,109,5,242,6
500,0,183,161,5,410,7
450,0,149,132,6,376,7
400,1,175,132,4,339,5
250,0,98,88,5,245,7
100,0,38,30,5,63,6
100,1,34,32,4,43,5
350,0,130,102,5,312,7
450,1,194,152,5,403,6
150,1,73,61,5,120,5
25,0,11,11,3,10,4
500,1,232,216,5,460,6
400,1,193,174,5,312,6
400,1,164,161,5,306,6
50,1,26,21,4,27,4
25,0,11,9,3,5,4
450,0,166,150,7,434,7
25,1,13,12,3,15,4
25,0,11,8,5,22,6
25,0,11,10,4,19,5
500,1,208,174,4,427,6
100,1,50,38,4,75,6
50,0,18,17,4,24,6
500,1,230,187,5,432,6
300,0,112,93,5,229,6
100,1,47,46,4,77,5
150,1,67,52,4,115,5
450,1,194,188,5,387,6
450,0,157,155,6,429,8
400,0,148,119,6,385,7
25,0,11,11,4,14,5
400,1,182,172,5,331,6
25,1,12,11,4,22,4
500,1,217,190,5,419,6
450,1,206,151,6,445,7
450,1,181,180,5,432,7
200,0,77,61,5,190,7
300,1,136,127,5,240,6
25,0,11,11,3,16,4
150,1,65,59,5,132,6
450,1,199,181,4,387,6
350,1,144,122,4,292,5
250,0,93,91,5,160,6
100,1,51,51,3,42,4
150,1,61,49,4,51,5
50,1,22,19,3,18,4
500,0,183,149,6,471,7
400,1,170,166,4,349,6
350,0,133,114,5,347,7
200,0,75,69,5,200,7
200,1,85,63,6,191,6
500,1,202,182,4,431,6
400,0,137,107,5,383,7
250,1,99,98,5,199,6
350,0,146,120,6,335,7
200,1,92,68,4,161,5
350,0,122,110,5,288,7
450,1,195,162,4,387,6
250,0,99,98,5,193,6
350,1,150,136,5,314,6
50,1,19,17,4,35,6
150,0,53,43,6,136,6
